lepton_pT,lepton_eta,lepton_phi,met_magnitude,met_phi,jet_1_pt,jet_1_eta,jet_1_phi,jet_1_b_tag,jet_2_pt,jet_2_eta,jet_2_phi,jet_2_b_tag,jet_3_pt,jet_3_eta,jet_3_phi,jet_3_b_tag,jet_4_pt,jet_4_eta,jet_4_phi,jet_4_b_tag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb,label
1.38355,0.889179,0.618532,1.08155,0.344606,0.956379,0.854543,-1.12921,2.17308,0.545666,-0.307865,-0.62328,2.21487,0.348257,1.0242,0.184078,0,0.781337,-1.63613,1.14407,0,0.522238,0.737639,0.9862,1.34962,0.812788,0.953406,0.779723,1
1.34365,0.838533,-1.06114,2.47202,-0.572632,1.51271,1.14369,0.855562,0,0.88422,1.47461,-1.36065,1.10744,1.58727,2.23483,0.0775685,0,1.60941,2.3964,0.757294,0,0.93402,0.844707,1.07784,1.40018,0.947775,1.00761,0.901017,1
1.4842,1.69952,-1.05947,2.7002,-1.05596,2.40945,0.457461,0.344982,0,1.4149,1.11423,-1.44887,0,1.01298,-2.05699,1.13101,0,0.905475,2.18237,1.04307,0,1.65363,0.993576,0.983322,0.74138,0.163382,0.592324,0.745138,1
0.642728,-1.42984,1.51907,0.940999,0.887227,1.61513,-1.33684,-0.266596,1.08654,1.66709,0.655738,-1.58813,0,0.82823,1.83614,0.408191,0,1.70872,-0.346915,-1.18278,3.10196,0.92109,1.37336,0.984917,1.42288,1.54655,1.78259,1.43817,1
1.10245,0.426544,1.71716,0.934302,0.775743,1.27939,-0.249563,-0.926306,2.17308,1.06665,0.434264,0.680676,0,1.05408,0.00381389,0.255084,0,0.743365,1.20797,-1.1506,0,0.708635,0.521908,1.05431,1.27265,0.834634,0.93498,0.865305,1
1.33011,0.201557,1.17339,0.135309,-1.08316,0.728461,1.10903,-0.539903,1.08654,0.462444,0.133138,-0.560584,0,0.479095,1.18714,0.657822,0,0.6701,1.00726,0.0547749,3.10196,0.782073,0.672103,0.990002,0.734279,0.379074,0.76476,0.642924,1
1.04791,-1.11914,-0.956825,0.995669,-1.55032,0.733316,0.28318,0.918761,2.17308,1.05041,-0.0407374,0.108646,2.21487,0.943438,0.31967,-0.857821,0,0.628234,-0.325262,1.21732,0,0.873131,0.873374,0.976218,1.37309,0.887989,1.20653,0.999058,1
0.769919,-0.449054,-0.985677,0.965722,-1.30096,0.738721,-1.03284,0.874965,1.08654,1.36945,-1.18113,0.166903,1.10744,1.25657,-0.1218,-1.58785,0,0.599512,0.610832,0.115815,0,1.04822,1.10551,0.993322,1.13182,0.891868,0.97395,0.951233,1
1.01442,0.0126074,-0.484635,0.695256,1.70117,0.597096,0.0762223,0.142635,2.17308,0.916829,0.684879,1.71321,2.21487,0.530903,-0.987447,-1.65387,0,0.962675,1.29458,0.263977,0,1.57577,1.06726,1.07199,0.805769,1.13021,0.838251,0.752052,1
1.11361,1.78231,1.45027,0.652963,1.51337,0.824831,1.85071,-0.480031,0,0.846071,1.15794,0.513672,2.21487,0.519839,2.68541,1.54207,0,1.04203,0.549203,-0.462506,1.55098,1.32142,1.03685,0.996771,0.824355,0.691858,0.803629,0.830536,1
0.657186,-0.900975,-0.85473,1.17568,1.48652,0.744583,-1.23583,1.64887,2.17308,0.660993,-2.09908,0.136942,0,1.7801,-1.03569,-0.212661,0,1.23578,-0.184515,0.783929,3.10196,0.861069,1.01624,1.045,0.758731,0.898038,0.848685,0.765078,1
0.303795,-1.42497,-1.64596,1.16557,-1.46878,1.45839,-0.472365,0.509632,2.17308,0.867097,-0.308837,-1.60533,0,1.31663,0.1358,-0.331929,2.54822,0.852655,0.744083,-1.36535,0,0.7596,0.980398,0.985948,1.37584,1.30896,1.08086,0.956596,1
1.16668,0.556082,-0.910771,0.907789,0.0508279,1.07776,0.387154,1.25305,0,1.21333,0.154509,-0.67266,2.21487,0.489281,-1.38432,0.703865,0,1.34775,0.691615,-1.50241,3.10196,0.86805,0.828958,1.08723,0.782245,0.87831,0.642207,0.620906,1
0.879725,0.617442,-0.648877,1.72351,1.10363,1.21279,-0.576339,1.21646,2.17308,0.781609,-0.913031,-0.102292,0,1.18281,-0.576015,-0.783486,0,0.432291,1.28625,-0.204472,0,0.879488,0.615956,1.70583,1.43493,0.598186,0.911286,1.00715,1
1.12111,-0.378928,1.36316,1.45057,0.782215,1.08765,-0.803102,-0.792701,1.08654,0.515323,0.368211,-0.665447,0,0.707754,-1.37248,1.44887,0,0.579309,0.440936,0.237896,3.10196,1.33579,0.869061,0.984373,1.45881,0.905457,0.949501,0.863412,1
0.420372,-0.721765,0.731724,0.884819,-0.723948,0.740828,1.2437,1.61894,0,1.24821,0.280787,0.076466,2.21487,1.08516,0.330593,1.24196,0,1.02474,0.0861529,-0.955271,1.55098,0.918797,0.9273,0.989288,0.743531,0.823612,0.922827,0.798417,1
0.703853,0.36908,-0.229954,1.16676,-1.42976,0.721224,0.0118573,1.50751,2.17308,0.683278,0.0282301,0.688443,2.21487,1.01281,-0.763526,-0.222091,0,0.930302,0.0819888,-0.753283,0,0.864805,0.748235,1.10741,0.834873,0.696142,0.681356,0.604386,1
0.69452,0.419726,1.2028,0.769441,-0.910608,0.829778,1.16845,0.0755559,0,0.393574,0.391524,0.509788,2.21487,0.747093,1.55943,0.835337,0,1.08998,-0.421869,-1.16059,3.10196,0.973127,0.653715,0.986719,0.687733,0.652318,0.7836,0.702941,1
0.31203,1.72192,1.41087,1.13305,1.16307,0.756309,1.21004,-0.699566,2.17308,0.755421,-0.0533653,-0.138911,2.21487,0.811546,-0.1928,1.1532,0,0.84657,1.29791,1.68178,0,1.00998,1.00007,0.996305,1.11838,0.930946,0.859875,0.793965,1
0.457889,0.12851,-0.519036,1.19468,0.736832,0.533704,-1.31604,-1.72904,0,0.686552,0.350726,1.10346,2.21487,0.911475,1.04878,-0.218763,2.54822,0.808355,-1.01401,-0.367061,0,0.887521,1.37077,0.984329,0.870676,0.852205,1.23783,1.00592,1
0.975805,0.291162,-1.12828,0.667557,-0.540491,0.949784,2.02599,1.05957,0,0.677739,-0.571107,1.30652,2.21487,1.19914,1.29273,-0.272572,0,0.601702,1.12385,0.824993,3.10196,1.89082,1.02571,0.990178,0.813684,0.693468,1.13117,1.18149,1
0.534753,-1.39088,-0.825323,1.34302,-1.44891,1.11055,-0.851623,-0.483911,0,1.67691,-0.7003,1.06906,2.21487,0.622929,0.0183779,-1.65331,0,0.924947,0.350158,0.169087,0,0.851973,1.02455,0.985858,1.44721,0.755299,1.27267,1.13777,1
1.92526,-0.859095,1.35317,1.76853,-1.45224,0.756034,-0.341655,-0.809332,2.17308,1.73394,-0.849892,0.150813,0,0.94414,-0.37576,0.931861,0,0.606084,0.624157,-1.03906,0,0.964365,0.930907,1.47419,1.06243,0.529717,0.906507,0.818525,1
1.54478,0.0593579,-1.73197,1.03416,0.807373,2.4668,-1.23682,-0.565407,0,1.93262,2.37021,-1.63862,0,3.92127,-0.645193,0.726609,2.54822,1.84284,-0.21866,-0.526876,3.10196,2.29164,2.69223,1.31879,1.44744,1.91434,3.17561,2.38714,1
0.946889,-0.329256,-0.0329779,0.0203868,-1.38065,1.24458,0.865436,0.799016,2.17308,1.13011,-0.0125676,-1.688,0,1.37108,0.681039,-0.931046,0,0.982391,0.958119,0.0192605,0,1.00141,0.587428,0.524561,0.859616,0.892176,0.820417,0.69721,1
1.02778,-0.732479,1.24275,1.1981,-0.0318903,0.756492,-1.49131,1.40384,0,1.34301,-1.47546,-0.262638,2.21487,0.483486,-2.59131,1.68575,0,0.707341,-0.686707,-1.34204,1.55098,0.830829,0.685982,1.40188,1.09281,0.790871,0.828685,0.856211,1
0.302697,1.2252,0.629074,1.25572,-0.601903,0.897384,0.528757,0.974198,2.17308,0.913304,-0.667273,-0.299256,2.21487,0.991031,0.559976,1.3762,0,0.533792,-1.17557,-0.67171,0,0.770995,1.00591,0.98775,0.700258,1.49133,0.876228,0.756521,1
0.44215,1.82322,-1.46563,0.988438,-1.56464,1.44382,-2.42807,0.846138,0,2.25241,0.524602,-0.14113,1.10744,2.36597,0.327862,-1.6633,0,1.06393,-0.0912384,-0.787687,0,0.656742,0.900454,0.991282,0.833515,1.46013,1.05303,0.845416,1
0.575198,-0.588331,1.55514,0.501311,0.137158,0.406553,-1.78244,1.26247,0,0.348123,-1.9796,0.11142,0,0.942209,-0.695257,-1.02812,2.54822,0.606571,0.405957,-0.666716,3.10196,0.694932,0.884014,0.987182,0.704731,0.427551,0.633945,0.590058,1
1.1751,-0.642874,0.0991819,1.27257,-0.627328,0.583721,-0.132716,-1.13032,0,0.561278,0.22639,1.22052,0,1.56514,1.08974,1.38231,2.54822,0.521622,0.665798,0.62356,0,0.936089,1.04334,1.03046,0.500409,1.0775,1.06428,0.881623,1
1.79239,-0.343865,0.136358,0.840608,-0.81306,1.68493,0.62481,1.49864,0,0.547554,0.58677,-1.31515,0,0.805575,2.24758,-0.159961,0,1.01111,1.32873,-0.284934,3.10196,1.15961,0.878366,1.28277,1.10191,0.298584,0.793002,1.00974,1
0.640532,1.63329,0.000971441,1.11838,1.00968,1.01272,0.749579,1.51638,0,1.43794,0.525573,0.357765,2.21487,1.64856,0.174941,-0.914958,0,1.60527,-0.493492,-0.864265,1.55098,0.844994,0.645212,0.986825,0.815211,1.47232,1.00888,0.964736,1
1.15186,0.872622,-1.3996,0.2898,-0.263723,0.830786,0.373291,-0.287662,0,1.15668,0.599398,0.722843,2.21487,1.55021,0.877653,1.52654,1.27411,1.28251,0.870672,-0.714439,0,0.798376,1.18062,0.987914,0.758009,0.975191,0.986925,0.872314,1
1.27448,-0.150045,-0.628347,1.82441,-0.101021,2.83304,1.92894,-1.62759,0,1.36114,0.0398866,0.110865,2.21487,2.68964,0.230466,0.573502,1.27411,0.776469,0.381805,-1.15337,0,2.07395,3.2546,0.989749,1.34424,0.85136,2.49585,2.29857,1
0.625342,-0.505544,1.26273,0.813902,-1.31351,1.22763,-0.9249,-0.0914136,0,1.21661,0.430379,1.58782,2.21487,0.976103,0.0101856,-0.290878,2.54822,0.518214,-1.25136,0.127468,0,0.920571,0.749715,0.985983,0.64656,1.1767,1.06423,0.928559,1
1.86431,0.056436,-0.290433,0.55035,0.224121,0.604424,0.555494,0.877183,0,1.05998,-0.37489,1.72708,2.21487,0.824015,-1.41982,-0.485036,0,0.816874,0.924806,1.31775,0,0.510236,0.915953,0.989711,0.820723,0.440589,0.842162,0.785444,1
1.06456,-0.610733,-0.375327,1.11606,0.98982,0.582255,-1.43388,-0.946263,0,0.986328,-0.549737,-1.02997,0,1.14488,1.28635,0.130268,0,1.1686,0.648309,1.05584,3.10196,0.935768,0.946339,1.42362,0.844852,0.724028,0.72825,0.716882,1
0.909738,-1.63145,-0.125085,1.96422,-0.646497,1.31007,-0.926881,1.35727,2.17308,0.444817,-0.371976,0.368306,0,1.18773,-1.4808,0.594582,0,1.40738,-0.138709,-1.52905,3.10196,0.984452,0.993114,0.996019,1.61869,0.930298,1.15854,0.97907,1
1.37678,-0.587357,-0.868602,1.73466,-1.39865,0.432569,-0.27729,0.236325,2.17308,0.920732,0.320614,1.15173,1.10744,0.330168,-0.050801,1.36566,0,1.93509,-2.21161,0.0275842,0,0.635049,0.757874,0.987705,0.979984,0.739956,0.922678,0.794225,1
1.82515,0.661271,-0.884693,1.03048,0.833464,1.56548,2.02004,-0.00881175,0,1.34125,0.816986,1.39807,1.10744,1.28608,0.0893773,-1.70601,0,1.29517,1.03224,-1.29543,0,1.00003,0.904121,1.89953,1.04296,0.663305,0.883202,0.810356,1
1.47743,0.8697,0.36718,0.642664,0.0235316,0.425332,0.140587,0.632149,0,1.33986,0.220562,-1.51545,0,0.334383,0.0493263,-1.31215,2.54822,1.17225,1.07971,-1.02241,3.10196,1.49888,1.10909,0.983776,0.653896,0.339929,0.633222,0.749666,1
1.07371,-0.20264,0.943126,1.24209,-1.72687,0.952165,-0.813004,-0.239432,2.17308,0.628636,-1.61631,1.49406,0,0.759211,-0.792654,-1.27609,2.54822,0.667909,-0.0854087,-0.83208,0,0.921172,0.765298,1.07485,0.735319,0.852348,0.865912,0.765471,1
0.651695,0.0837072,-0.284885,0.343875,-0.838746,1.10487,0.260405,1.64388,2.17308,0.700149,0.764531,-0.311463,1.10744,0.761845,1.14253,0.744915,0,0.976793,1.36121,0.130243,0,0.532456,1.21859,0.990643,0.561961,1.31562,0.870511,0.769027,1
1.7481,-1.2594,-1.56773,1.15917,-1.30777,2.53129,-0.895193,-0.115806,2.17308,1.09662,-0.529338,1.51514,1.10744,1.60202,0.505361,1.04225,0,0.954399,-0.731679,-1.35925,0,1.55265,1.09515,0.984949,2.28778,2.4787,1.71662,1.64423,1
0.653342,0.816132,1.49133,1.17312,0.353205,0.99861,0.795129,0.0988397,2.17308,1.03178,1.71551,-0.995016,0,1.05232,0.893127,-1.38759,0,1.04373,-0.756664,-1.37811,0,0.849116,1.12166,1.03665,0.772635,1.0372,1.01573,0.878524,1
0.603015,-1.30517,-0.294872,1.98602,-0.397121,1.03791,0.458451,1.2209,2.17308,0.429709,0.0146309,1.71932,2.21487,0.469787,0.0311214,-0.543283,0,0.524056,-1.37129,0.514797,0,0.682347,1.045,0.983976,1.36341,0.480033,1.87491,1.36385,1
0.664323,-0.216275,0.434873,1.15605,1.43654,1.83929,-2.03396,0.305622,0,2.5746,0.988919,-1.16535,2.21487,1.50648,1.08337,-1.6228,0,0.631155,0.660801,0.673502,3.10196,0.838521,0.945048,0.98756,0.54066,1.15369,0.997552,0.837078,1
1.43607,1.08982,0.733388,0.278039,-0.822667,2.42118,1.48334,0.320035,0,2.44693,-1.4026,-1.50269,2.21487,2.00033,2.28672,-1.50631,0,2.20527,1.30624,-0.221119,0,1.65954,2.24606,0.983278,2.9743,1.66467,3.84116,2.82491,1
0.708794,0.850221,0.672354,0.948589,-1.13776,1.24091,0.416861,1.58179,2.17308,0.957496,0.470205,-0.036822,2.21487,0.876877,0.102121,0.66115,0,1.70531,1.46114,-0.758832,0,0.971662,0.85635,1.13402,0.949969,1.59483,1.04865,0.922793,1
1.12404,0.35447,0.0398117,1.1325,1.62031,0.955921,1.3754,0.415942,0,1.54257,0.437178,-0.804709,2.21487,1.72355,1.67776,-1.63611,0,2.12787,-0.175354,1.56192,0,0.851553,1.25106,1.5464,0.743475,0.13855,0.717625,0.746045,1
0.341495,-1.22336,-1.37297,0.993666,0.691938,1.08619,0.318829,-1.18575,0,1.21295,1.56203,0.163019,2.21487,1.05724,0.490797,1.6569,2.54822,0.565435,1.30541,0.426011,0,1.42951,0.9751,0.98809,1.25734,1.35321,1.04041,0.962988,1
0.351743,-1.43958,0.0625611,0.643742,1.51869,1.13776,0.660458,1.45983,2.17308,1.12671,-0.0339378,-0.519524,0,0.930793,0.0948388,0.13748,0,0.496064,0.795718,-0.591248,3.10196,0.883353,0.567817,0.994613,0.906224,0.772891,0.907176,0.785616,1
0.637055,0.994368,1.19781,0.755408,1.18321,0.645922,-1.28534,0.84392,0,1.28824,0.138967,-1.1659,2.21487,0.825947,-1.66376,-0.399607,0,0.701986,0.662467,-0.711664,0,0.925454,0.712345,1.00111,0.988703,0.705111,0.809691,0.731668,1
0.774861,-1.01396,-0.295427,0.804264,-1.62964,0.742568,-0.163413,1.6206,2.17308,0.559389,-2.10685,-1.00445,0,0.449766,-1.62735,0.466993,0,0.983608,0.124463,0.343329,3.10196,0.760803,0.978105,1.01981,0.8408,0.838616,0.852584,0.737168,1
1.26258,-0.147123,-1.17599,1.31785,-1.7109,1.41716,0.788198,-0.284336,2.17308,1.11374,-2.67996,0.734494,0,0.448712,1.89531,1.4228,0,0.645759,-0.0637553,1.09801,1.55098,6.08415,3.14931,0.9892,1.75287,1.06215,2.73894,2.11673,1
0.923281,0.824897,-1.26311,0.811576,-0.403257,0.915981,0.647585,1.43488,2.17308,0.737417,1.71453,-0.441848,0,1.64873,1.14982,0.529123,0,1.22677,-1.07064,-1.29432,0,0.922575,0.931458,0.989285,0.828986,0.607401,0.738732,0.69514,1
0.664323,0.845351,1.32986,0.592269,-0.367797,1.53213,0.473304,-1.0017,0,1.23234,1.2949,1.30153,1.10744,1.08657,2.50609,0.962926,0,2.04219,0.245222,0.261757,0,0.705783,1.08618,0.986588,0.616673,1.04356,0.746515,0.678133,1
1.30211,-0.364318,0.123596,0.147437,1.5708,0.709223,-1.3913,0.876628,0,0.719539,0.188507,-0.710943,0,0.984709,-0.284735,-1.22117,1.27411,1.17541,0.418449,1.6618,3.10196,2.01727,1.31711,0.989514,0.783526,0.547197,0.90938,0.824295,1
0.415431,1.47259,-0.723783,0.828607,1.33058,0.606073,0.36834,-0.582593,0,0.600056,-0.575964,0.0553825,1.10744,0.393567,1.8052,0.495284,0,1.02231,-0.0537614,-0.291593,1.55098,0.836841,0.722045,0.991247,1.18291,0.287962,1.12091,0.947828,1
1.56528,0.914503,-1.25645,0.485274,1.50127,0.549002,1.2437,-0.413506,0,1.30537,1.16765,0.519775,2.21487,0.468031,-0.241953,-0.107816,2.54822,0.458579,0.355155,0.876045,0,0.920036,0.892568,0.986295,0.722825,0.800992,0.835812,0.725912,1
0.817685,-0.86786,0.518657,0.705481,0.775555,1.20207,0.950595,-1.05769,2.17308,0.606225,0.684879,1.51736,2.21487,0.988573,0.39067,0.206822,0,1.0542,0.288529,0.974819,0,0.720033,0.69472,0.993414,1.42743,0.932708,0.971303,0.842326,1
0.8466,-0.388668,0.605215,0.413911,-0.116839,0.883735,0.391115,1.66495,2.17308,0.436004,-0.32535,-0.601087,0,0.764655,-1.4189,0.0354086,0,0.418173,0.291027,1.27614,0,0.888832,0.796457,0.977717,1.22489,0.682296,0.862706,0.774373,1
1.24007,0.151885,0.496463,0.77035,-0.246614,0.77115,2.734,-0.00936634,0,0.775314,1.24536,1.534,0,1.19001,-0.474977,1.51267,2.54822,1.94142,0.4451,-1.07014,3.10196,2.09122,1.87898,0.989772,0.922274,1.06105,1.66271,1.50417,1
0.616924,1.43071,-1.1194,0.797622,-0.421215,1.16607,0.249513,-0.17457,2.17308,1.34704,0.837384,1.51237,0,0.416047,1.29546,1.73678,0,0.500202,0.889827,-0.446968,0,0.800571,0.699534,0.992791,0.811799,1.0909,1.01868,0.885325,1
0.444895,-1.12012,-1.67648,0.837436,0.21697,1.12668,-0.084195,-0.0952942,2.17308,0.933071,0.224448,1.6999,0,0.526161,-0.430375,1.27469,0,0.767219,0.662467,1.5264,0,0.557115,1.2858,0.982609,0.931209,0.728345,0.951869,0.938778,1
1.34859,-1.56522,-0.602268,1.03288,-1.09706,1.37988,-0.398098,0.927631,2.17308,0.385013,0.596484,1.48019,0,0.600098,-0.880038,-1.29828,0,1.03789,-0.545127,-0.0474318,0,0.982163,1.00251,0.977036,0.661012,0.848034,1.0496,0.903567,1
0.523955,-1.11427,1.01026,0.393672,1.00815,0.602134,-1.1071,0.556199,2.17308,1.21245,-0.313693,-1.06215,2.21487,0.666307,-0.798115,-0.794026,0,0.463691,-1.15392,-1.28711,0,0.30699,0.674969,0.975017,0.939564,1.35058,0.836094,0.679617,1
1.21518,0.744058,0.536967,0.533705,-1.34177,1.03086,0.398047,-1.49898,2.17308,0.963917,1.23273,0.606328,0,0.83666,1.19715,-1.05974,2.54822,0.521135,-2.33153,-0.709444,0,0.617484,1.54318,1.1075,0.994369,0.706062,1.18787,1.06794,1
1.59877,-1.36653,-1.36409,0.375686,0.956226,0.414156,-0.288182,0.354407,0,0.70997,0.690707,-0.0850921,2.21487,0.57235,-0.480438,1.13046,0,0.616794,0.713269,-1.1789,3.10196,0.572801,0.700402,0.987716,0.850456,0.499782,0.873054,0.742842,1
1.03784,1.26708,-0.808677,1.92024,-1.21681,2.40231,-1.93493,0.665966,0,1.66671,0.815043,-1.06936,0,1.48646,2.16019,-1.72709,0,2.17411,0.159441,-0.459176,1.55098,0.702011,0.889162,0.989184,1.3918,0.524666,1.12962,1.03772,1
1.04004,-0.629238,-1.57827,0.872649,1.24996,1.26968,-0.736757,-0.440116,1.08654,0.587214,-1.31227,-1.56538,0,1.39075,-0.0608138,0.560743,2.54822,0.701499,-1.55534,1.37935,0,0.448838,1.04656,0.985238,1.28707,1.41895,1.07094,0.909791,1
0.394934,1.57972,-0.386979,1.72997,1.12267,0.80083,-0.315909,-0.691805,2.17308,0.687307,0.675165,1.16726,1.10744,0.556544,-0.131813,0.230675,0,0.461987,0.81987,-1.51018,0,0.883588,0.828847,1.12001,1.59753,1.22965,1.08058,0.926592,1
0.932248,0.789834,1.62394,0.789221,-0.636357,0.645556,-0.121824,1.06844,1.08654,0.690958,0.693621,-1.18865,2.21487,0.854398,2.06735,-0.0578896,0,1.28178,0.913146,0.297826,0,0.804771,0.995468,1.06205,0.887772,0.975333,0.942889,0.819725,1
0.876248,-0.0594663,-0.512378,0.62311,1.05555,0.787364,0.15247,-0.091968,0,1.5252,0.150623,-1.70908,2.21487,0.950814,0.672847,0.986225,1.27411,0.769897,1.16049,-0.496356,0,0.891866,0.926009,1.01101,0.911865,0.918423,0.945563,0.802781,1
0.378097,-1.11622,-0.289324,1.45019,0.282916,0.88401,0.966439,-1.62981,2.17308,0.369149,1.3901,0.267327,0,0.824893,0.733833,-0.766289,2.54822,0.383123,0.86401,1.27614,0,0.398523,0.668547,0.986161,1.91977,0.75289,2.08439,1.65749,1
0.68482,0.642765,-1.63708,0.793893,0.241397,0.64519,-1.29723,-0.422376,2.17308,0.441669,-0.655617,1.55342,0,0.660863,-0.568733,1.00675,2.54822,1.20754,-0.553455,0.37052,0,0.85916,0.708928,1.01383,0.690899,0.831252,0.802365,0.687761,1
0.490464,-2.35901,-0.438581,0.467096,-0.508232,1.02014,-1.37644,-1.3504,0,0.413971,0.152566,-0.293709,0,1.5827,0.262324,0.810374,2.54822,1.15472,-0.547626,0.532554,1.55098,1.6282,1.22056,0.985041,1.19753,0.568142,1.08023,0.938862,1
0.463928,-2.18954,0.863226,1.14785,-0.354957,0.478923,0.768393,0.208052,2.17308,0.598545,-1.47448,-1.67968,0,0.808034,-0.365747,-1.5174,2.54822,0.4301,-0.154533,0.62467,0,0.747363,1.0472,0.99033,0.856645,0.913287,0.924853,0.782867,1
1.03181,-0.977919,0.677902,0.603602,-1.02668,0.742843,-1.0061,-0.79381,1.08654,1.05986,-0.218499,1.4297,2.21487,1.28643,0.381567,0.397651,0,0.456388,1.25127,-0.0152468,0,0.570243,1.00891,1.09259,0.820011,1.298,0.991746,0.883162,1
0.795907,-0.390616,0.418227,1.19225,-1.62535,0.721498,0.456471,-0.742807,0,0.781609,0.667394,0.955316,2.21487,0.757104,1.49025,-0.855602,0,1.1243,-0.780816,0.166312,3.10196,0.838094,1.09121,1.30074,0.825493,0.944037,0.922643,0.897232,1
0.58325,1.68686,-0.278226,0.979551,1.53237,0.654259,2.24086,0.179224,0,0.916074,0.640195,-1.49936,2.21487,0.730409,0.336965,-0.456744,2.54822,0.397727,1.153,0.934865,0,0.60438,0.857669,1.04522,0.820037,0.712947,0.803049,0.721624,1
0.463928,-1.10746,-0.410283,0.525362,1.40163,0.961967,-1.20414,-0.155167,2.17308,0.768641,-0.135932,-1.73682,0,0.774314,0.955024,-1.49355,0,0.918132,2.3431,0.105827,0,0.788665,0.724098,0.983802,0.913601,1.00647,1.0235,1.08701,1
1.03144,1.0567,-0.0795861,1.2328,-0.598195,0.589767,-0.331752,-1.22179,2.17308,0.505503,-0.231127,0.53642,0,1.4984,0.104851,1.59255,0,1.3974,1.20713,0.33778,0,0.962633,0.823955,0.989618,1.11355,0.506606,0.997873,1.06088,1
1.06749,-0.284453,0.66625,0.562039,-0.683017,0.824099,-0.121824,-0.603659,0,1.3454,0.0991404,1.29432,2.21487,0.612216,-1.44894,1.52432,2.54822,1.01915,-1.00901,-0.562393,0,0.802064,0.957837,1.00588,0.869457,0.939376,0.980036,0.830249,1
0.470882,0.531733,1.70329,0.763541,-1.34063,0.833992,-0.731805,-0.230562,0,1.16612,-0.564308,1.50571,1.10744,1.265,-1.15948,0.235668,2.54822,0.599025,-2.16247,-1.43582,0,1.49756,1.02883,0.995864,0.688506,1.26061,0.979545,0.866437,1
0.734782,1.28461,-0.0668243,0.604126,0.200934,0.384659,-0.484248,-1.26725,2.17308,0.689322,0.0398866,-1.69466,0,0.53143,0.877653,-1.47691,2.54822,0.480486,1.00143,-0.408679,0,0.888993,0.662325,0.985224,0.687036,0.458486,0.590046,0.566032,1
